Site_Name	ID	tag	species	stem	censinyr	growinyr	deathyr	censoryr	yrMIA	postX	postY	localX	localY	x	y	UTM_Easting	UTM_Northing	elevation	diam2011	diam2014	sex2011	sex2014	canopy2011	canopy2014	damage	damage2011	damage2014	Notes2011	Notes2014
Purchase_Knob	336.01	2192	acerRubr	1	2011	NaN	NaN	NaN	NaN	30	50	3.0	8.0	33.0	58.0	311478.6068	3940223.0280	434.5039	10.06	10.40	UN	UN	1	0	ND	ND	ND		
Purchase_Knob	336.02	2192	acerRubr	2	2011	NaN	NaN	NaN	NaN	30	50	3.0	8.0	33.0	58.0	311478.6068	3940223.0280	434.5039	7.53	7.70	UN	UN	1	0	ND	ND	ND		
Purchase_Knob	311.01	2193	acerRubr	1	2011	NaN	NaN	NaN	NaN	30	50	1.0	8.0	31.0	58.0	311476.6263	3940222.7500	434.5039	13.15	13.40	UN	UN	1	0	D	ND	CD		
Purchase_Knob	317.01	2194	amelUNKN	1	2011	NaN	NaN	NaN	NaN	30	50	1.5	5.0	31.5	55.0	311477.5389	3940219.8490	434.5039	2.87	2.70	UN	UN	0	0	D	ND	B		
Purchase_Knob	316.01	2195	amelUNKN	1	2011	NaN	NaN	NaN	NaN	30	50	1.5	4.0	31.5	54.0	311477.6781	3940218.8580	434.5039	3.70	3.80	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	316.02	2195	amelUNKN	2	2011	NaN	2014	NaN	NaN	30	50	1.5	4.0	31.5	54.0	311477.6781	3940218.8580	434.5039	2.65	NaN	UN	NA	0	NA	ND	ND	NA		
Purchase_Knob	299.01	2196	querRubr	1	2011	NaN	2014	NaN	NaN	30	50	0.5	4.5	30.5	54.5	311476.6182	3940219.2140	434.5039	83.58	NaN	UN	NA	2	NA	ND	ND	NA		
Purchase_Knob	325.01	2197	amelUNKN	1	2011	NaN	NaN	NaN	NaN	30	50	2.0	2.0	32.0	52.0	311478.4516	3940216.9470	434.5039	1.15	1.21	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	334.01	2198	amelUNKN	1	2011	NaN	NaN	NaN	NaN	30	50	3.0	4.0	33.0	54.0	311479.1635	3940219.0670	434.5039	4.09	4.40	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	334.02	2198	amelUNKN	2	2011	NaN	NaN	NaN	NaN	30	50	3.0	4.0	33.0	54.0	311479.1635	3940219.0670	434.5039	1.00	1.24	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	333.01	2199	amelUNKN	1	2011	NaN	NaN	NaN	NaN	30	50	3.0	2.0	33.0	52.0	311479.4418	3940217.0870	434.5039	5.30	6.00	UN	UN	1	1	ND	ND	ND		
