plot.id,tree.no,bearing,dist,dbh,occl,species,cr.p,height,h.cr,diameter1,diameter2,notes,date,tree.no.2012
Harv_01_NE,10,63,14.7,51.4,V,Oak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,11,67,16,19.7,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,12,71,18.1,10.3,O,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,13,72,10.4,49.4,V,RedOak,D,24,10.8,8.8,10.6,NA,2013-09-20,90
Harv_01_NE,14,75,15.4,18.5,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,15,81,11.5,46.3,V,Oak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,16,96,18.6,29.8,P,Oak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,17,98,9.4,33,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,18,98,14.6,20.6,O,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,19,113,8.3,14,P,Hemlock,I,9.5,0,7.8,6.9,NA,2013-09-20,102
Harv_01_NE,20,119,5.5,26.7,V,Hemlock,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,21,117.5,14,47.5,O,RedOak,D,25.4,11.3,11.1,11.4,NA,2013-09-20,103
Harv_01_NE,22,121,9,23.4,P,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,23,123,9.5,12.5,P,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,24,131,14.2,16.4,P,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,25,134,16.9,15.4,P,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,26,136,11.3,38.5,P,Dead,NA,NA,NA,NA,NA,Topless,2013-09-20,NA
Harv_01_NE,27,145,13.9,13.2,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,28,150,14.6,11.4,V,Hemlock,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,29,149.5,147,11.5,P,BlackBirch,I,5.6,4.1,4.1,5.7,Broken head,2013-09-20,116
Harv_01_NE,30,152,18.2,24,O,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,31,154,9.7,17.9,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,32,160,8.9,9.8,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,33,168,16,12,O,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,34,173,14.2,16,P,Dead,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,35,168,9.8,35.8,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,36,175,10.3,34.4,V,Cherry,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,37,190,15.9,10.2,P,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,38,183,19.8,16.8,P,RedMaple,I,15.5,10,6.4,7.5,NA,2013-09-20,1
Harv_01_NE,39,202,11.4,26.3,O,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,40,207,8.9,40,V,RedMaple,D,30,9.1,9.6,9.4,NA,2013-09-20,7
Harv_01_NE,41,202,4.6,29.5,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,42,218,9.4,5.7,V,Dead,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,43,214,19,20,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,44,208,14,23,O,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NE,45,208,17.7,34.2,O,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
